Tier,Date,Pay,Title,Exp Lvl,Location,Category,Url,New,Reject Reason,Part Time,Night Time,Non US
Tolerable,2026-05-21,"$202,000 – $232,000/yr",Operations Director,senior,"Issaquah, WA, USA",People & HR,https://builtin.com/job/operations-director/9439288,New,,,,
Merciless,2026-04-10,"$250,000/yr",Institutional Sales Lead,senior,Remote — North America (Aligned with U.S. Time Zon,Other,https://jobs.ashbyhq.com/0x/c3f622bb-1cae-4a17-a4ca-26e94cd0a283,New,,,,
Warning,2026-06-05,"$76,000 – $112,000/yr",Operations Associate,entry,"MA, USA",Ops & Support,https://builtin.com/job/operations-associate/9625261,New,,,,
Tolerable,2026-04-30,"$200,000/yr",Director of Growth,senior,"Burlington, Massachusetts, United States; Remote",Client Success,https://job-boards.greenhouse.io/10beauty/jobs/5125375007,New,,,,
Tolerable,2026-05-15,"$160,000/yr",Senior Data Infrastructure Engineer,senior,"Burlington, Massachusetts, United States; Remote",Code & Build,https://job-boards.greenhouse.io/10beauty/jobs/5139282007,New,,,,
Merciless,2026-05-13,"$180,000/yr",Senior Software Engineer - Cloud Applications,senior,"Burlington, Massachusetts, United States; Remote",Code & Build,https://job-boards.greenhouse.io/10beauty/jobs/5137112007,New,,,,
Tolerable,2026-05-12,"$132,600/yr","Account Executive, East Bay",mid,"California, USA (Remote)",Client Success,https://boards.greenhouse.io/10xgenomics/jobs/7917705?gh_jid=7917705,New,,,,
Merciless,2026-05-12,"$182,900/yr","District Sales Manager, Gulf Coast",senior,"Texas, USA (Remote)",People & HR,https://boards.greenhouse.io/10xgenomics/jobs/7917707?gh_jid=7917707,New,advanced_degree_requirement,,,
